	Total	Ubi	Int	Ubi_Ent	Int_Ent	Overlap_Ent	delta
9066	40	6	2	0.6098403047164004	0.28639695711595625	0.13774437510817342	0.14865258200778284
9067	40	6	3	0.6098403047164004	0.38431154412649704	0.15	0.23431154412649705
9068	40	6	4	0.6098403047164004	0.4689955935892812	0.13774437510817342	0.33125121848110783
9069	40	6	5	0.6098403047164004	0.5435644431995964	0.09750336324725312	0.4460610799523433
9070	40	7	1	0.6690158350565576	0.16866093149667025	0.10354273625190728	0.06511819524476296
9071	40	7	2	0.6690158350565576	0.28639695711595625	0.15104609949916042	0.13535085761679583
9072	40	7	3	0.6690158350565576	0.38431154412649704	0.17241492380599402	0.21189662032050302
9073	40	7	4	0.6690158350565576	0.4689955935892812	0.17241492380599402	0.29658066978328723
9074	40	7	5	0.6690158350565576	0.5435644431995964	0.15104609949916042	0.392518343700436
9075	40	7	6	0.6690158350565576	0.6098403047164004	0.1035427362519073	0.506297568464493
9076	40	8	1	0.7219280948873623	0.16866093149667025	0.10871288863991929	0.059948042856750955
9077	40	8	2	0.7219280948873623	0.28639695711595625	0.16225562489182657	0.12414133222412968
9078	40	8	3	0.7219280948873623	0.38431154412649704	0.190886800584993	0.19342474354150405
9079	40	8	4	0.7219280948873623	0.4689955935892812	0.2	0.2689955935892812
9080	40	8	5	0.7219280948873623	0.5435644431995964	0.190886800584993	0.35267764261460344
9081	40	8	6	0.7219280948873623	0.6098403047164004	0.16225562489182657	0.44758467982457384
9082	40	8	7	0.7219280948873623	0.6690158350565576	0.10871288863991929	0.5603029464166382
9083	40	9	1	0.7691928290130138	0.16866093149667025	0.11323312532452029	0.05542780617214996
9084	40	9	2	0.7691928290130138	0.28639695711595625	0.17194601396443956	0.11445094315151669
9085	40	9	3	0.7691928290130138	0.38431154412649704	0.20661656266226017	0.17769498146423687
9086	40	9	4	0.7691928290130138	0.4689955935892812	0.2229921134636	0.2460034801256812
9087	40	9	5	0.7691928290130138	0.5435644431995964	0.2229921134636	0.32057232973599636
9088	40	9	6	0.7691928290130138	0.6098403047164004	0.20661656266226017	0.40322374205414024
9089	40	9	7	0.7691928290130138	0.6690158350565576	0.17194601396443956	0.49706982109211806
9090	40	9	8	0.7691928290130138	0.7219280948873623	0.11323312532452032	0.608694969562842
9091	40	10	1	0.8112781244591328	0.16866093149667025	0.1172488983973203	0.05141203309934994
9092	40	10	2	0.8112781244591328	0.28639695711595625	0.18048202372184058	0.10591493339411567
9093	40	10	3	0.8112781244591328	0.38431154412649704	0.22032272480767318	0.16398881931882386
9094	40	10	4	0.8112781244591328	0.4689955935892812	0.24273764861366715	0.22625794497561408
9095	40	10	5	0.8112781244591328	0.5435644431995964	0.25	0.2935644431995964
9096	40	10	6	0.8112781244591328	0.6098403047164004	0.24273764861366715	0.36710265610273324
9097	40	10	7	0.8112781244591328	0.6690158350565576	0.22032272480767318	0.4486931102488844
9098	40	10	8	0.8112781244591328	0.7219280948873623	0.18048202372184058	0.5414460711655218
9099	40	10	9	0.8112781244591328	0.7691928290130138	0.11724889839732029	0.6519439306156934
9100	40	11	1	0.8485481782946158	0.16866093149667025	0.1208616714034162	0.04779926009325405
9101	40	11	2	0.8485481782946158	0.28639695711595625	0.18811056980073654	0.09828638731521971
9102	40	11	3	0.8485481782946158	0.38431154412649704	0.23247150757117008	0.15184003655532696
9103	40	11	4	0.8485481782946158	0.4689955935892812	0.2600565837651761	0.20893900982410513
9104	40	11	5	0.8485481782946158	0.5435644431995964	0.2733583081561631	0.2702061350434333
9105	40	11	6	0.8485481782946158	0.6098403047164004	0.2733583081561631	0.3364819965602373
9106	40	11	7	0.8485481782946158	0.6690158350565576	0.2600565837651761	0.4089592512913815
9107	40	11	8	0.8485481782946158	0.7219280948873623	0.23247150757117008	0.48945658731619224
9108	40	11	9	0.8485481782946158	0.7691928290130138	0.18811056980073648	0.5810822592122773
9109	40	11	10	0.8485481782946158	0.8112781244591328	0.1208616714034162	0.6904164530557166
9110	40	12	1	0.8812908992306927	0.16866093149667025	0.12414505509109011	0.044515876405580135
9111	40	12	2	0.8812908992306927	0.28639695711595625	0.19500672649450623	0.09139023062145002
9112	40	12	3	0.8812908992306927	0.38431154412649704	0.24338343733773984	0.1409281067887572
9113	40	12	4	0.8812908992306927	0.4689955935892812	0.27548875021634683	0.1935068433729344
9114	40	12	5	0.8812908992306927	0.5435644431995964	0.2939606269953458	0.2496038162042506
9115	40	12	6	0.8812908992306927	0.6098403047164004	0.3	0.3098403047164004
9116	40	12	7	0.8812908992306927	0.6690158350565576	0.2939606269953458	0.3750552080612118
9117	40	12	8	0.8812908992306927	0.7219280948873623	0.27548875021634683	0.4464393446710155
9118	40	12	9	0.8812908992306927	0.7691928290130138	0.24338343733773984	0.525809391675274
9119	40	12	10	0.8812908992306927	0.8112781244591328	0.19500672649450623	0.6162713979646266
9120	40	12	11	0.8812908992306927	0.8485481782946158	0.12414505509109015	0.7244031232035256
9121	40	13	1	0.9097361225311662	0.16866093149667025	0.1271541581795081	0.041506773317162154
9122	40	13	2	0.9097361225311662	0.28639695711595625	0.20129921327059824	0.08509774384535801
9123	40	13	3	0.9097361225311662	0.38431154412649704	0.2532886971199277	0.13102284700656935
9124	40	13	4	0.9097361225311662	0.4689955935892812	0.2894097830713347	0.17958581051794653
9125	40	13	5	0.9097361225311662	0.5435644431995964	0.3124018965349347	0.23116254666466168
9126	40	13	6	0.9097361225311662	0.6098403047164004	0.32361142192760084	0.28622888278879954
9127	40	13	7	0.9097361225311662	0.6690158350565576	0.32361142192760084	0.34540441312895676
9128	40	13	8	0.9097361225311662	0.7219280948873623	0.3124018965349347	0.4095261983524276
9129	40	13	9	0.9097361225311662	0.7691928290130138	0.2894097830713347	0.4797830459416791
9130	40	13	10	0.9097361225311662	0.8112781244591328	0.25328869711992763	0.5579894273392052
9131	40	13	11	0.9097361225311662	0.8485481782946158	0.20129921327059824	0.6472489650240176
9132	40	13	12	0.9097361225311662	0.8812908992306927	0.12715415817950804	0.7541367410511847
9133	40	14	1	0.934068055375491	0.16866093149667025	0.12993131432430646	0.038729617172363784
9134	40	14	2	0.934068055375491	0.28639695711595625	0.20708547250381457	0.07931148461214169
9135	40	14	3	0.934068055375491	0.38431154412649704	0.262358340040818	0.12195320408567906
9136	40	14	4	0.934068055375491	0.4689955935892812	0.30209219899832085	0.16690339459096037
9137	40	14	5	0.934068055375491	0.5435644431995964	0.32910008553472087	0.21446435766487554
9138	40	14	6	0.934068055375491	0.6098403047164004	0.34482984761198804	0.26501045710441234
9139	40	14	7	0.934068055375491	0.6690158350565576	0.35	0.3190158350565576
9140	40	14	8	0.934068055375491	0.7219280948873623	0.34482984761198804	0.3770982472753743
9141	40	14	9	0.934068055375491	0.7691928290130138	0.32910008553472087	0.4400927434782929
9142	40	14	10	0.934068055375491	0.8112781244591328	0.30209219899832085	0.509185925460812
9143	40	14	11	0.934068055375491	0.8485481782946158	0.262358340040818	0.5861898382537978
9144	40	14	12	0.934068055375491	0.8812908992306927	0.2070854725038146	0.6742054267268781
9145	40	14	13	0.934068055375491	0.9097361225311662	0.12993131432430644	0.7798048082068598
9146	40	15	1	0.9544340029249649	0.16866093149667025	0.132509750633033	0.03615118086363725
9147	40	15	2	0.9544340029249649	0.28639695711595625	0.2124410649573395	0.07395589215861675
9148	40	15	3	0.9544340029249649	0.38431154412649704	0.2707230355827609	0.11358850854373614
9149	40	15	4	0.9544340029249649	0.4689955935892812	0.3137402782279377	0.15525531536134352
9150	40	15	5	0.9544340029249649	0.5435644431995964	0.3443609377704336	0.19920350542916282
9151	40	15	6	0.9544340029249649	0.6098403047164004	0.3641064729205007	0.2457338317958997
9152	40	15	7	0.9544340029249649	0.6690158350565576	0.3737968619931137	0.2952189730634439
9153	40	15	8	0.9544340029249649	0.7219280948873623	0.3737968619931137	0.34813123289424863
9154	40	15	9	0.9544340029249649	0.7691928290130138	0.3641064729205007	0.4050863560925131
9155	40	15	10	0.9544340029249649	0.8112781244591328	0.3443609377704336	0.46691718668869925
9156	40	15	11	0.9544340029249649	0.8485481782946158	0.31374027822793776	0.5348079000666781
9157	40	15	12	0.9544340029249649	0.8812908992306927	0.2707230355827609	0.6105678636479318
9158	40	15	13	0.9544340029249649	0.9097361225311662	0.2124410649573395	0.6972950575738267
9159	40	15	14	0.9544340029249649	0.934068055375491	0.132509750633033	0.8015583047424579
9160	40	16	1	0.9709505944546686	0.16866093149667025	0.13491602664680555	0.0337449048498647
9161	40	16	2	0.9709505944546686	0.28639695711595625	0.21742577727983858	0.06897117983611767
9162	40	16	3	0.9709505944546686	0.38431154412649704	0.2784849040500583	0.10582664007643872
9163	40	16	4	0.9709505944546686	0.4689955935892812	0.32451124978365314	0.14448434380562808
9164	40	16	5	0.9709505944546686	0.5435644431995964	0.358415293013823	0.18514915018577338
9165	40	16	6	0.9709505944546686	0.6098403047164004	0.381773601169986	0.2280667035464144
9166	40	16	7	0.9709505944546686	0.6690158350565576	0.395479763315399	0.27353607174115857
9167	40	16	8	0.9709505944546686	0.7219280948873623	0.4	0.3219280948873623
9168	40	16	9	0.9709505944546686	0.7691928290130138	0.395479763315399	0.37371306569761475
9169	40	16	10	0.9709505944546686	0.8112781244591328	0.381773601169986	0.42950452328914684
9170	40	16	11	0.9709505944546686	0.8485481782946158	0.358415293013823	0.4901328852807928
9171	40	16	12	0.9709505944546686	0.8812908992306927	0.32451124978365314	0.5567796494470396
9172	40	16	13	0.9709505944546686	0.9097361225311662	0.2784849040500583	0.6312512184811079
9173	40	16	14	0.9709505944546686	0.934068055375491	0.21742577727983858	0.7166422780956524
9174	40	16	15	0.9709505944546686	0.9544340029249649	0.13491602664680555	0.8195179762781594
9175	40	17	1	0.9837082626231857	0.16866093149667025	0.13717170753139427	0.03148922396527598
9176	40	17	2	0.9837082626231857	0.28639695711595625	0.22208773417819982	0.06430922293775643
9177	40	17	3	0.9837082626231857	0.38431154412649704	0.2857252972571461	0.09858624686935091
9178	40	17	4	0.9837082626231857	0.4689955935892812	0.33452879913553935	0.13446679445374188
9179	40	17	5	0.9837082626231857	0.5435644431995964	0.3714419454541271	0.17212249774546928
9180	40	17	6	0.9837082626231857	0.6098403047164004	0.3980836372979641	0.2117566674184363
9181	40	17	7	0.9837082626231857	0.6690158350565576	0.41540257244947293	0.25361326260708467
9182	40	17	8	0.9837082626231857	0.7219280948873623	0.42393858220687397	0.29798951268048834
9183	40	17	9	0.9837082626231857	0.7691928290130138	0.42393858220687397	0.3452542468061398
9184	40	17	10	0.9837082626231857	0.8112781244591328	0.41540257244947293	0.3958755520096599
9185	40	17	11	0.9837082626231857	0.8485481782946158	0.3980836372979641	0.45046454099665173
9186	40	17	12	0.9837082626231857	0.8812908992306927	0.37144194545412706	0.5098489537765656
9187	40	17	13	0.9837082626231857	0.9097361225311662	0.33452879913553935	0.5752073233956269
9188	40	17	14	0.9837082626231857	0.934068055375491	0.2857252972571461	0.6483427581183449
9189	40	17	15	0.9837082626231857	0.9544340029249649	0.22208773417819982	0.7323462687467651
9190	40	17	16	0.9837082626231857	0.9709505944546686	0.13717170753139427	0.8337788869232743
9191	40	18	1	0.9927744539878084	0.16866093149667025	0.13929454311764633	0.029366388379023917
9192	40	18	2	0.9927744539878084	0.28639695711595625	0.22646625064904058	0.05993070646691567
9193	40	18	3	0.9927744539878084	0.38431154412649704	0.29251008974175935	0.09180145438473769
9194	40	18	4	0.9927744539878084	0.4689955935892812	0.34389202792887913	0.1251035656604021
9195	40	18	5	0.9927744539878084	0.5435644431995964	0.3835823303922654	0.159982112807331
9196	40	18	6	0.9927744539878084	0.6098403047164004	0.41323312532452033	0.19660717939188005
9197	40	18	7	0.9927744539878084	0.6690158350565576	0.4338354441637031	0.23518039089285447
9198	40	18	8	0.9927744539878084	0.7219280948873623	0.4459842269272	0.2759438679601623
9199	40	18	9	0.9927744539878084	0.7691928290130138	0.45	0.31919282901301377
9200	40	18	10	0.9927744539878084	0.8112781244591328	0.4459842269272	0.3652938975319328
9201	40	18	11	0.9927744539878084	0.8485481782946158	0.43383544416370307	0.41471273413091275
9202	40	18	12	0.9927744539878084	0.8812908992306927	0.41323312532452033	0.46805777390617237
9203	40	18	13	0.9927744539878084	0.9097361225311662	0.3835823303922654	0.5261537921389008
9204	40	18	14	0.9927744539878084	0.934068055375491	0.34389202792887913	0.5901760274466119
9205	40	18	15	0.9927744539878084	0.9544340029249649	0.29251008974175935	0.6619239131832055
9206	40	18	16	0.9927744539878084	0.9709505944546686	0.22646625064904063	0.7444843438056279
9207	40	18	17	0.9927744539878084	0.9837082626231857	0.13929454311764636	0.8444137195055393
9208	40	19	1	0.99819587904281	0.16866093149667025	0.14129931823666253	0.027361613260007717
9209	40	19	2	0.99819587904281	0.28639695711595625	0.23059386135430884	0.05580309576164741
9210	40	19	3	0.99819587904281	0.38431154412649704	0.2988933813316164	0.08541816279488063
9211	40	19	4	0.99819587904281	0.4689955935892812	0.35268159553250866	0.11631399805677256
9212	40	19	5	0.99819587904281	0.5435644431995964	0.3949503343046214	0.148614108894975
9213	40	19	6	0.99819587904281	0.6098403047164004	0.4273782853816747	0.18246201933472567
9214	40	19	7	0.99819587904281	0.6690158350565576	0.4509897073092755	0.21802612774728208
9215	40	19	8	0.99819587904281	0.7219280948873623	0.46642187376044636	0.25550622112691596
9216	40	19	9	0.99819587904281	0.7691928290130138	0.4740504198393422	0.29514240917367157
9217	40	19	10	0.99819587904281	0.8112781244591328	0.47405041983934226	0.33722770461979057
9218	40	19	11	0.99819587904281	0.8485481782946158	0.46642187376044636	0.38212630453416946
9219	40	19	12	0.99819587904281	0.8812908992306927	0.4509897073092755	0.4303011919214172
9220	40	19	13	0.99819587904281	0.9097361225311662	0.4273782853816747	0.4823578371494915
9221	40	19	14	0.99819587904281	0.934068055375491	0.3949503343046214	0.5391177210708695
9222	40	19	15	0.99819587904281	0.9544340029249649	0.35268159553250866	0.6017524073924563
9223	40	19	16	0.99819587904281	0.9709505944546686	0.2988933813316165	0.672057213123052
9224	40	19	17	0.99819587904281	0.9837082626231857	0.23059386135430884	0.7531144012688769
9225	40	19	18	0.99819587904281	0.9927744539878084	0.14129931823666264	0.8514751357511458
9226	40	20	1	1.0	0.16866093149667025	0.14319847855797813	0.02546245293869212
9227	40	20	2	1.0	0.28639695711595625	0.2344977967946406	0.05189916032131564
9228	40	20	3	1.0	0.38431154412649704	0.3049201523582002	0.07939139176829685
9229	40	20	4	1.0	0.4689955935892812	0.36096404744368116	0.10803154614560007
9230	40	20	5	1.0	0.5435644431995964	0.4056390622295664	0.13792538097003
9231	40	20	6	1.0	0.6098403047164004	0.44064544961534635	0.16919485510105403
9232	40	20	7	1.0	0.6690158350565576	0.4670340276877455	0.2019818073688121
9233	40	20	8	1.0	0.7219280948873623	0.4854752972273343	0.23645279766002802
9234	40	20	9	1.0	0.7691928290130138	0.4963872269939042	0.2728056020191096
9235	40	20	10	1.0	0.8112781244591328	0.5	0.31127812445913283
9236	40	20	11	1.0	0.8485481782946158	0.4963872269939042	0.3521609513007116
9237	40	20	12	1.0	0.8812908992306927	0.4854752972273343	0.3958156020033584
9238	40	20	13	1.0	0.9097361225311662	0.4670340276877455	0.4427020948434207
9239	40	20	14	1.0	0.934068055375491	0.44064544961534635	0.49342260576014463
9240	40	20	15	1.0	0.9544340029249649	0.4056390622295664	0.5487949406953985
9241	40	20	16	1.0	0.9709505944546686	0.36096404744368116	0.6099865470109874
9242	40	20	17	1.0	0.9837082626231857	0.30492015235820025	0.6787881102649854
9243	40	20	18	1.0	0.9927744539878084	0.23449779679464058	0.7582766571931678
9244	40	20	19	1.0	0.99819587904281	0.14319847855797815	0.8549974004848319
9245	40	21	1	0.99819587904281	0.16866093149667025	0.14500259951516803	0.023658331981502218
9246	40	21	2	0.99819587904281	0.28639695711595625	0.23820107807314603	0.048195879042810225
9247	40	21	3	0.99819587904281	0.38431154412649704	0.3106282087557219	0.07368333537077515
9248	40	21	4	0.99819587904281	0.4689955935892812	0.3687949394274549	0.10020065416182633
9249	40	21	5	0.99819587904281	0.5435644431995964	0.4157256350979289	0.12783880810166748
9250	40	21	6	0.99819587904281	0.6098403047164004	0.4531382984974813	0.1567020062189191
9251	40	21	7	0.99819587904281	0.6690158350565576	0.48210531287860703	0.18691052217795057
9252	40	21	8	0.99819587904281	0.7219280948873623	0.5033237385629943	0.21860435632436803
9253	40	21	9	0.99819587904281	0.7691928290130138	0.5172447714179821	0.2519480575950317
9254	40	21	10	0.99819587904281	0.8112781244591328	0.524140928111752	0.2871371963473809
9255	40	21	11	0.99819587904281	0.8485481782946158	0.524140928111752	0.32440725018286387
